Date,Predicted_Demand,Lower_Bound,Upper_Bound
2023-08-08,746.8833615876773,445.1255346399805,1040.304835979301
2023-08-09,710.422736262382,413.53727133981226,1032.5117954633458
2023-08-10,720.6715164792846,434.0712421227899,1038.8393299265945
2023-08-11,730.2839351047542,399.40588185965,1031.511150887694
2023-08-12,714.9639073552058,415.001350515875,1024.6380382689172
2023-08-13,677.6014076973848,357.13026313345216,987.9071525539285
2023-08-14,696.7206193522281,391.33551104754434,1019.3811372321883
2023-08-15,687.3920254506661,384.7160455182471,994.9376973775038
2023-08-16,654.2547009868665,352.291470979905,951.770087691235
2023-08-17,668.7642110524306,365.69335610009256,963.6415675729512
2023-08-18,683.4781798209333,385.1823138615954,1011.5213939323899
2023-08-19,673.9955511452924,348.06123786172964,979.5015462331571
2023-08-20,643.0963810107788,341.5618446666793,948.9402805330337
2023-08-21,669.2082612954364,362.0830359566817,953.1816121151224
2023-08-22,667.2421039855734,344.86594181006984,980.6390171301913
2023-08-23,641.7004952244687,361.27066943983925,974.5356899309397
2023-08-24,663.920829447445,354.05466104907936,986.8678559884128
2023-08-25,686.3024407327512,371.34166837374596,997.3336430589774
2023-08-26,684.2953993865307,369.68877305831984,982.8809274893077
2023-08-27,660.5443381441702,368.2025284792747,959.139948667014
2023-08-28,693.3733862297872,378.1844451255924,977.1724654476716
2023-08-29,697.5455049407483,372.70591220474967,1004.5290173193446
2023-08-30,677.4563965671186,362.6999348645944,991.7447817227168
2023-08-31,704.3720211072949,362.9119680702455,1006.0101346112111
2023-09-01,730.59611658904,428.1515443340806,1042.1980119366713
2023-09-02,731.5070699755859,422.453898674518,1027.2732999011444
2023-09-03,709.7040639056116,407.06966803431146,1012.5832171756695
2023-09-04,743.5085969704107,432.4027912638725,1048.2442579345538
2023-09-05,747.6452793638009,448.4862988101706,1065.5191006532636
2023-09-06,726.5190837257692,417.0085946921033,1010.0030617484198
